SOURCE	TARGET	COUNT	BASE
באריתריאים	באריתראים	5	93
האריתריאים	האריתראים	34	93
ואריתריאים	ואריתראים	7	93
כאריתריאים	כאריתראים	1	93
לאריתריאים	לאריתראים	8	93
שאריתריאים	שאריתראים	2	93
והאריתריאים	והאריתראים	8	93
שהאריתריאים	שהאריתראים	1	93
מהאריתריאים	מהאריתראים	8	93
אריתריאיות	אריתראיות	3	0
לאריתריאיות	לאריתראיות	1	3
ארכיאולוגי	ארכאולוגי	394	0
הארכיאולוגי	הארכאולוגי	369	394
וארכיאולוגי	וארכאולוגי	6	394
לארכיאולוגי	לארכאולוגי	1	394
מארכיאולוגי	מארכאולוגי	1	394
והארכיאולוגי	והארכאולוגי	14	394
כשהארכיאולוגי	כשהארכאולוגי	1	394
מהארכיאולוגי	מהארכאולוגי	2	394
ארכיאולוגית	ארכאולוגית	364	0
בארכיאולוגית	בארכאולוגית	3	364
הארכיאולוגית	הארכאולוגית	153	364
וארכיאולוגית	וארכאולוגית	9	364
כארכיאולוגית	כארכאולוגית	2	364
לארכיאולוגית	לארכאולוגית	3	364
שארכיאולוגית	שארכאולוגית	1	364
והארכיאולוגית	והארכאולוגית	2	364
מהארכיאולוגית	מהארכאולוגית	1	364
ארכיאולוגים	ארכאולוגים	298	0
בארכיאולוגים	בארכאולוגים	3	298
הארכיאולוגים	הארכאולוגים	192	298
וארכיאולוגים	וארכאולוגים	13	298
כארכיאולוגים	כארכאולוגים	14	298
לארכיאולוגים	לארכאולוגים	39	298
מארכיאולוגים	מארכאולוגים	3	298
שארכיאולוגים	שארכאולוגים	14	298
והארכיאולוגים	והארכאולוגים	11	298
ולארכיאולוגים	ולארכאולוגים	1	298
שהארכיאולוגים	שהארכאולוגים	18	298
כשארכיאולוגים	כשארכאולוגים	1	298
כשהארכיאולוגים	כשהארכאולוגים	1	298
מהארכיאולוגים	מהארכאולוגים	10	298
ארכיאולוגיים	ארכאולוגיים	340	0
הארכיאולוגיים	הארכאולוגיים	179	340
וארכיאולוגיים	וארכאולוגיים	10	340
כארכיאולוגיים	כארכאולוגיים	2	340
והארכיאולוגיים	והארכאולוגיים	6	340
ארכיאולוגיות	ארכאולוגיות	316	0
הארכיאולוגיות	הארכאולוגיות	140	316
וארכיאולוגיות	וארכאולוגיות	4	316
והארכיאולוגיות	והארכאולוגיות	2	316
מהארכיאולוגיות	מהארכאולוגיות	2	316
בולשביקי	בולשוויקי	34	0
הבולשביקי	הבולשוויקי	27	34
בולשביקית	בולשוויקית	52	0
הבולשביקית	הבולשוויקית	80	52
כבולשביקית	כבולשוויקית	1	52
בולשביקים	בולשוויקים	35	0
בבולשביקים	בבולשוויקים	1	35
הבולשביקים	הבולשוויקים	54	35
ובולשביקים	ובולשוויקים	2	35
כבולשביקים	כבולשוויקים	1	35
לבולשביקים	לבולשוויקים	3	35
ובבולשביקים	ובבולשוויקים	1	35
והבולשביקים	והבולשוויקים	5	35
שהבולשביקים	שהבולשוויקים	3	35
מהבולשביקים	מהבולשוויקים	3	35
בולשביקיים	בולשוויקיים	5	0
הבולשביקיים	הבולשוויקיים	2	5
ובולשביקיים	ובולשוויקיים	1	5
והבולשביקיים	והבולשוויקיים	1	5
בולשביקיות	בולשוויקיות	4	0
הבולשביקיות	הבולשוויקיות	5	4
ביזרי	ביזארי	3	0
הביזרי	הביזארי	3	0
והביזרי	והביזארי	1	3
ביזרים	ביזארים	2	0
מהביזרים	מהביזארים	1	0
הביזריים	הביזאריים	1	0
ביזריות	ביזאריות	1	0
הביזריות	הביזאריות	3	0
הבילטראליים	הבילטרליים	1	0
בינרי	בינארי	1	0
הבינרי	הבינארי	2	0
הבינרית	הבינארית	1	0
ביורוקרטי	בירוקרטי	348	0
הביורוקרטי	הבירוקרטי	264	348
וביורוקרטי	ובירוקרטי	12	348
לביורוקרטי	לבירוקרטי	2	348
שביורוקרטי	שבירוקרטי	1	348
והביורוקרטי	והבירוקרטי	8	348
ביורוקרטית	בירוקרטית	255	0
בביורוקרטית	בבירוקרטית	2	255
הביורוקרטית	הבירוקרטית	120	255
וביורוקרטית	ובירוקרטית	8	255
והביורוקרטית	והבירוקרטית	6	255
ביורוקרטים	בירוקרטים	40	0
הביורוקרטים	הבירוקרטים	35	40
וביורוקרטים	ובירוקרטים	2	40
לביורוקרטים	לבירוקרטים	7	40
והביורוקרטים	והבירוקרטים	5	40
שהביורוקרטים	שהבירוקרטים	3	40
ביורוקרטיים	בירוקרטיים	282	0
הביורוקרטיים	הבירוקרטיים	114	282
וביורוקרטיים	ובירוקרטיים	6	282
לביורוקרטיים	לבירוקרטיים	1	282
והביורוקרטיים	והבירוקרטיים	7	282
ביורוקרטיות	בירוקרטיות	228	0
בביורוקרטיות	בבירוקרטיות	11	228
הביורוקרטיות	הבירוקרטיות	69	228
וביורוקרטיות	ובירוקרטיות	11	228
לביורוקרטיות	לבירוקרטיות	4	228
שביורוקרטיות	שבירוקרטיות	1	228
והביורוקרטיות	והבירוקרטיות	6	228
שהביורוקרטיות	שהבירוקרטיות	1	228
מהביורוקרטיות	מהבירוקרטיות	2	228
בלרוסי	בלארוסי	5	0
בלרוסית	בלארוסית	1	0
הבלרוסית	הבלארוסית	1	1
והבלרוסית	והבלארוסית	2	1
בלרוסים	בלארוסים	5	0
בלאגניסט	בלגניסט	3	0
הבלאגניסט	הבלגניסט	3	3
שהבלאגניסט	שהבלגניסט	1	3
בלאגניסטים	בלגניסטים	5	0
הבלאגניסטים	הבלגניסטים	2	5
ברוטאלי	ברוטלי	3	0
הברוטאלי	הברוטלי	2	3
ברוטאלית	ברוטלית	1	0
גיאוגרפי	גאוגרפי	819	0
בגיאוגרפי	בגאוגרפי	1	819
הגיאוגרפי	הגאוגרפי	730	819
וגיאוגרפי	וגאוגרפי	19	819
לגיאוגרפי	לגאוגרפי	4	819
והגיאוגרפי	והגאוגרפי	6	819
ומגיאוגרפי	ומגאוגרפי	1	819
גיאוגרפית	גאוגרפית	1131	0
בגיאוגרפית	בגאוגרפית	5	1131
הגיאוגרפית	הגאוגרפית	724	1131
וגיאוגרפית	וגאוגרפית	31	1131
כגיאוגרפית	כגאוגרפית	1	1131
לגיאוגרפית	לגאוגרפית	1	1131
מגיאוגרפית	מגאוגרפית	2	1131
שגיאוגרפית	שגאוגרפית	14	1131
והגיאוגרפית	והגאוגרפית	91	1131
גיאוגרפים	גאוגרפים	25	0
הגיאוגרפים	הגאוגרפים	14	25
וגיאוגרפים	וגאוגרפים	5	25
כגיאוגרפים	כגאוגרפים	1	25
לגיאוגרפים	לגאוגרפים	1	25
שגיאוגרפים	שגאוגרפים	1	25
שהגיאוגרפים	שהגאוגרפים	3	25
מהגיאוגרפים	מהגאוגרפים	1	25
גיאוגרפיים	גאוגרפיים	299	0
הגיאוגרפיים	הגאוגרפיים	154	299
וגיאוגרפיים	וגאוגרפיים	9	299
והגיאוגרפיים	והגאוגרפיים	6	299
שהגיאוגרפיים	שהגאוגרפיים	1	299
גיאוגרפיות	גאוגרפיות	158	0
בגיאוגרפיות	בגאוגרפיות	11	158
הגיאוגרפיות	הגאוגרפיות	80	158
וגיאוגרפיות	וגאוגרפיות	8	158
כגיאוגרפיות	כגאוגרפיות	1	158
לגיאוגרפיות	לגאוגרפיות	5	158
מגיאוגרפיות	מגאוגרפיות	4	158
והגיאוגרפיות	והגאוגרפיות	7	158
ולגיאוגרפיות	ולגאוגרפיות	1	158
גיאולוגי	גאולוגי	47	0
הגיאולוגי	הגאולוגי	121	47
גיאולוגית	גאולוגית	47	0
בגיאולוגית	בגאולוגית	2	47
הגיאולוגית	הגאולוגית	29	47
וגיאולוגית	וגאולוגית	2	47
גיאולוגים	גאולוגים	24	0
בגיאולוגים	בגאולוגים	1	24
הגיאולוגים	הגאולוגים	25	24
וגיאולוגים	וגאולוגים	2	24
כגיאולוגים	כגאולוגים	4	24
לגיאולוגים	לגאולוגים	3	24
מגיאולוגים	מגאולוגים	1	24
שגיאולוגים	שגאולוגים	3	24
שהגיאולוגים	שהגאולוגים	3	24
כשגיאולוגים	כשגאולוגים	2	24
מהגיאולוגים	מהגאולוגים	1	24
גיאולוגיים	גאולוגיים	28	0
הגיאולוגיים	הגאולוגיים	5	28
וגיאולוגיים	וגאולוגיים	3	28
והגיאולוגיים	והגאולוגיים	2	28
גיאולוגיות	גאולוגיות	27	0
הגיאולוגיות	הגאולוגיות	16	27
וגיאולוגיות	וגאולוגיות	1	27
גיאופוליטי	גאופוליטי	124	0
בגיאופוליטי	בגאופוליטי	2	124
הגיאופוליטי	הגאופוליטי	198	124
וגיאופוליטי	וגאופוליטי	1	124
והגיאופוליטי	והגאופוליטי	3	124
גיאופוליטית	גאופוליטית	156	0
הגיאופוליטית	הגאופוליטית	118	156
וגיאופוליטית	וגאופוליטית	2	156
והגיאופוליטית	והגאופוליטית	3	156
כשגיאופוליטית	כשגאופוליטית	1	156
גיאופוליטיים	גאופוליטיים	91	0
הגיאופוליטיים	הגאופוליטיים	57	91
וגיאופוליטיים	וגאופוליטיים	5	91
והגיאופוליטיים	והגאופוליטיים	7	91
גיאופוליטיות	גאופוליטיות	40	0
הגיאופוליטיות	הגאופוליטיות	24	40
וגיאופוליטיות	וגאופוליטיות	2	40
והגיאופוליטיות	והגאופוליטיות	2	40
גיאורגי	גאורגי	13	0
הגיאורגי	הגאורגי	7	13
וגיאורגי	וגאורגי	1	13
מהגיאורגי	מהגאורגי	1	13
גיאורגית	גאורגית	8	0
בגיאורגית	בגאורגית	6	8
הגיאורגית	הגאורגית	5	8
גיאורגים	גאורגים	8	0
הגיאורגים	הגאורגים	13	8
וגיאורגים	וגאורגים	5	8
לגיאורגים	לגאורגים	1	8
שגיאורגים	שגאורגים	1	8
ולגיאורגים	ולגאורגים	1	8
שהגיאורגים	שהגאורגים	1	8
גיאורגיים	גאורגיים	1	0
גיאורגיות	גאורגיות	5	0
הגיאורגיות	הגאורגיות	3	5
גיאותרמית	גאותרמית	1	0
גלובאלי	גלובלי	1	0
גלובאליות	גלובליות	1	0
הגלאקטי	הגלקטי	1	0
הגלאקטית	הגלקטית	2	0
הדיגיטאליים	הדיגיטליים	1	0
דינאמי	דינמי	25	0
הדינאמי	הדינמי	5	0
דינאמית	דינמית	6	0
דינאמיים	דינמיים	49	0
הדינאמיים	הדינמיים	4	49
ודינאמיים	ודינמיים	2	49
והדינאמיים	והדינמיים	1	49
הדינאמיות	הדינמיות	1	0
דרמתי	דרמטי	10	0
הדרמתי	הדרמטי	2	0
דראסטית	דרסטית	1	0
האבסבורגי	הבסבורגי	5	0
האבסבורגית	הבסבורגית	25	0
האבסבורגים	הבסבורגים	6	0
ההאבסבורגים	ההבסבורגים	2	6
והאבסבורגים	והבסבורגים	1	6
להאבסבורגים	להבסבורגים	1	6
שהאבסבורגים	שהבסבורגים	3	6
האבסבורגיות	הבסבורגיות	2	0
הומניטארית	הומניטרית	2	0
הומניטאריים	הומניטריים	1	0
וההומניטאריים	וההומניטריים	1	1
הורמונאלית	הורמונלית	1	0
הסטורי	היסטורי	144	0
בהסטורי	בהיסטורי	1	144
ההסטורי	ההיסטורי	6	144
והסטורי	והיסטורי	4	144
מהסטורי	מהיסטורי	11	144
שהסטורי	שהיסטורי	5	144
הסטורית	היסטורית	6	0
ההסטורית	ההיסטורית	3	6
להסטורית	להיסטורית	1	6
הסטוריים	היסטוריים	3	0
הסטוריות	היסטוריות	3	0
הירואי	הרואי	228	0
ההירואי	ההרואי	121	0
וההירואי	וההרואי	5	121
הירואית	הרואית	106	0
ההירואית	ההרואית	70	0
וההירואית	וההרואית	1	70
הירואיים	הרואיים	49	0
ההירואיים	ההרואיים	26	0
וההירואיים	וההרואיים	1	26
הירואיות	הרואיות	39	0
ההירואיות	ההרואיות	30	0
וההירואיות	וההרואיות	2	30
ההרצלייני	ההרצליאני	2	0
הרצליינית	הרצליאנית	1	0
ההרצליינית	ההרצליאנית	1	1
וולנטרי	וולונטרי	13	0
הוולנטרי	הוולונטרי	1	0
וולנטרית	וולונטרית	20	0
הוולנטרית	הוולונטרית	1	0
וולנטריים	וולונטריים	4	0
הוולנטריים	הוולונטריים	1	0
וולנטריות	וולונטריות	2	0
ווקלי	ווקאלי	4	0
הווקלי	הווקאלי	1	0
הווקלית	הווקאלית	1	0
ווקליים	ווקאליים	1	0
הווקליים	הווקאליים	2	0
ווקליות	ווקאליות	7	0
הווקליות	הווקאליות	2	0
וייטנאמי	וייטנמי	22	0
הווייטנאמי	הווייטנמי	10	22
ווייטנאמי	ווייטנמי	1	22
כווייטנאמי	כווייטנמי	1	22
וייטנאמית	וייטנמית	7	0
בווייטנאמית	בווייטנמית	2	7
הווייטנאמית	הווייטנמית	11	7
וייטנאמים	וייטנמים	25	0
בווייטנאמים	בווייטנמים	1	25
הווייטנאמים	הווייטנמים	15	25
ווייטנאמים	ווייטנמים	1	25
לווייטנאמים	לווייטנמים	1	25
והווייטנאמים	והווייטנמים	2	25
שהווייטנאמים	שהווייטנמים	3	25
מהווייטנאמים	מהווייטנמים	1	25
וייטנאמיים	וייטנמיים	3	0
והווייטנאמיים	והווייטנמיים	1	3
וייטנאמיות	וייטנמיות	2	0
וירלי	ויראלי	1	0
וירלית	ויראלית	2	0
הווירליים	הוויראליים	2	0
ווירליים	וויראליים	1	0
וירליות	ויראליות	1	0
בווירליות	בוויראליות	2	1
הווירליות	הוויראליות	10	1
לווירליות	לוויראליות	3	1
והווירליות	והוויראליות	1	1
שהווירליות	שהוויראליות	1	1
הוורבאלי	הוורבלי	1	0
וורבאלי	וורבלי	1	0
הוורבאלית	הוורבלית	2	0
טבטוני	טווטוני	1	0
הטבטוני	הטווטוני	7	1
טבטונית	טווטונית	1	0
הטבטונית	הטווטונית	1	1
טבטונים	טווטונים	1	0
הטבטונים	הטווטונים	9	1
לטבטונים	לטווטונים	1	1
והטבטונים	והטווטונים	1	1
טבטוניים	טווטוניים	1	0
הטבטוניים	הטווטוניים	1	1
הטבטוניות	הטווטוניות	1	0
טוטאלי	טוטלי	424	0
בטוטאלי	בטוטלי	1	424
הטוטאלי	הטוטלי	34	424
וטוטאלי	וטוטלי	3	424
לטוטאלי	לטוטלי	3	424
והטוטאלי	והטוטלי	2	424
טוטאלית	טוטלית	493	0
הטוטאלית	הטוטלית	103	493
וטוטאלית	וטוטלית	8	493
לטוטאלית	לטוטלית	1	493
שטוטאלית	שטוטלית	1	493
והטוטאלית	והטוטלית	1	493
טוטאליים	טוטליים	10	0
טוטאליות	טוטליות	11	0
הטוטאליות	הטוטליות	9	11
וטוטאליות	וטוטליות	1	11
שהטוטאליות	שהטוטליות	1	11
טוטאליטרי	טוטליטרי	1	0
טונאלי	טונלי	1	0
הטונאלי	הטונלי	4	1
טונאלית	טונלית	4	0
הטונאלית	הטונלית	2	4
טונאליים	טונליים	1	0
הטונאליים	הטונליים	1	1
טונאליות	טונליות	4	0
בטונאליות	בטונליות	1	4
הטונאליות	הטונליות	2	4
תורכי	טורקי	23	0
בתורכי	בטורקי	10	23
התורכי	הטורקי	2	23
ותורכי	וטורקי	2	23
כתורכי	כטורקי	1	23
לתורכי	לטורקי	1	23
מתורכי	מטורקי	1	23
ובתורכי	ובטורקי	1	23
בתורכית	בטורקית	1	0
תורכים	טורקים	16	0
בתורכים	בטורקים	2	16
התורכים	הטורקים	6	16
לתורכים	לטורקים	1	16
מתורכים	מטורקים	2	16
שתורכים	שטורקים	1	16
שהתורכים	שהטורקים	1	16
מהתורכים	מהטורקים	1	16
ותורקי	וטורקי	1	0
תורקים	טורקים	2	0
התורקים	הטורקים	4	2
ותורקים	וטורקים	2	2
שתורקים	שטורקים	1	2
טטרי	טטארי	3	0
הטטרי	הטטארי	4	0
טטרית	טטארית	5	0
הטטרית	הטטארית	2	0
טטרים	טטארים	24	0
הטטרים	הטטארים	20	0
והטטרים	והטטארים	2	20
מהטטרים	מהטטארים	3	20
שהטטרים	שהטטארים	1	20
כשהטטרים	כשהטטארים	1	20
טטריים	טטאריים	1	0
טטריות	טטאריות	1	0
טייוואנית	טייואנית	1	0
טייוואנים	טייואנים	2	0
הטייוואנים	הטייואנים	2	2
מהטייוואנים	מהטייואנים	1	2
טלויזיוני	טלוויזיוני	1	0
טאמילי	טמילי	2	0
טאקטי	טקטי	7	0
הטאקטי	הטקטי	2	7
טאקטיים	טקטיים	4	0
וטאקטיים	וטקטיים	1	4
טראומתי	טראומטי	2	0
הטראומתי	הטראומטי	1	2
וטראומתי	וטראומטי	1	2
וטראומתית	וטראומטית	1	0
טראגי	טרגי	149	0
הטראגי	הטרגי	19	0
והטראגי	והטרגי	1	19
מהטראגי	מהטרגי	1	19
טראגית	טרגית	84	0
הטראגית	הטרגית	9	0
והטראגית	והטרגית	1	9
טראגיים	טרגיים	8	0
הטראגיים	הטרגיים	2	8
וטראגיים	וטרגיים	1	8
טראגיות	טרגיות	11	0
הטראגיות	הטרגיות	2	11
טריוויאלי	טריביאלי	2674	0
בטריוויאלי	בטריביאלי	1	2674
הטריוויאלי	הטריביאלי	205	2674
וטריוויאלי	וטריביאלי	31	2674
כטריוויאלי	כטריביאלי	7	2674
לטריוויאלי	לטריביאלי	1	2674
מטריוויאלי	מטריביאלי	5	2674
שטריוויאלי	שטריביאלי	4	2674
והטריוויאלי	והטריביאלי	8	2674
מהטריוויאלי	מהטריביאלי	5	2674
טריוויאלית	טריביאלית	446	0
הטריוויאלית	הטריביאלית	63	446
וטריוויאלית	וטריביאלית	6	446
כטריוויאלית	כטריביאלית	1	446
לטריוויאלית	לטריביאלית	1	446
והטריוויאלית	והטריביאלית	1	446
טריוויאלים	טריביאלים	1	0
טריוויאליים	טריביאליים	315	0
הטריוויאליים	הטריביאליים	60	315
וטריוויאליים	וטריביאליים	8	315
כטריוויאליים	כטריביאליים	4	315
שטריוויאליים	שטריביאליים	1	315
והטריוויאליים	והטריביאליים	1	315
מהטריוויאליים	מהטריביאליים	1	315
טריוויאליות	טריביאליות	113	0
בטריוויאליות	בטריביאליות	3	113
הטריוויאליות	הטריביאליות	16	113
וטריוויאליות	וטריביאליות	2	113
כטריוויאליות	כטריביאליות	1	113
והטריוויאליות	והטריביאליות	1	113
ביוגוסלאבית	ביוגוסלבית	1	0
היוגוסלאבית	היוגוסלבית	1	0
יוגוסלאבים	יוגוסלבים	2	0
יפאני	יפני	1	0
כוריאוגרפית	כוראוגרפית	3	0
כוריאוגרפים	כוראוגרפים	1	0
הכוריאוגרפים	הכוראוגרפים	1	1
לכוריאוגרפים	לכוראוגרפים	1	1
מכוריאוגרפים	מכוראוגרפים	1	1
הלגלי	הלגאלי	7	0
הלגלית	הלגאלית	9	0
והלגלית	והלגאלית	1	9
הלגליים	הלגאליים	3	0
הלגליות	הלגאליות	1	0
הליגאלי	הלגאלי	4	0
ליגאליים	לגאליים	2	0
הליגאליים	הלגאליים	1	0
הליגלי	הלגאלי	3	0
לוקאלי	לוקלי	218	0
בלוקאלי	בלוקלי	3	218
הלוקאלי	הלוקלי	70	218
ולוקאלי	ולוקלי	5	218
ללוקאלי	ללוקלי	6	218
והלוקאלי	והלוקלי	1	218
מהלוקאלי	מהלוקלי	1	218
לוקאלית	לוקלית	164	0
הלוקאלית	הלוקלית	61	164
ולוקאלית	ולוקלית	5	164
שלוקאלית	שלוקלית	1	164
והלוקאלית	והלוקלית	1	164
לוקאלים	לוקלים	1	0
לוקאליים	לוקליים	55	0
הלוקאליים	הלוקליים	11	55
ולוקאליים	ולוקליים	1	55
כלוקאליים	כלוקליים	1	55
לוקאליות	לוקליות	51	0
בלוקאליות	בלוקליות	2	51
הלוקאליות	הלוקליות	23	51
ולוקאליות	ולוקליות	2	51
והלוקאליות	והלוקליות	3	51
לטווי	לטבי	2	0
הלטווי	הלטבי	1	0
הלטווית	הלטבית	1	0
המסיבי	המאסיבי	106	0
והמסיבי	והמאסיבי	5	106
המסיבית	המאסיבית	148	0
והמסיבית	והמאסיבית	3	148
המסיבים	המאסיבים	4	0
והמסיבים	והמאסיבים	1	4
מסיביים	מאסיביים	78	0
המסיביים	המאסיביים	18	78
ומסיביים	ומאסיביים	4	78
המסיביות	המאסיביות	10	0
מסיווי	מאסיבי	1	0
מוזיאוני	מוזאוני	52	0
במוזיאוני	במוזאוני	5	52
המוזיאוני	המוזאוני	7	52
למוזיאוני	למוזאוני	2	52
ממוזיאוני	ממוזאוני	1	52
וממוזיאוני	וממוזאוני	1	52
מוזיאונית	מוזאונית	3	0
המוזיאונית	המוזאונית	1	3
מוזיאונים	מוזאונים	421	0
במוזיאונים	במוזאונים	174	421
המוזיאונים	המוזאונים	302	421
ומוזיאונים	ומוזאונים	35	421
כמוזיאונים	כמוזאונים	2	421
למוזיאונים	למוזאונים	114	421
ממוזיאונים	ממוזאונים	8	421
שמוזיאונים	שמוזאונים	14	421
ובמוזיאונים	ובמוזאונים	8	421
והמוזיאונים	והמוזאונים	9	421
ולמוזיאונים	ולמוזאונים	6	421
שבמוזיאונים	שבמוזאונים	3	421
שהמוזיאונים	שהמוזאונים	15	421
מהמוזיאונים	מהמוזאונים	14	421
מוזיאוניים	מוזאוניים	8	0
ממוזיאוניים	ממוזאוניים	1	8
מוזיאוניות	מוזאוניות	2	0
מוסיקאי	מוזיקאי	4	0
המוסיקאי	המוזיקאי	4	4
ומוסיקאי	ומוזיקאי	1	4
וכמוסיקאי	וכמוזיקאי	1	4
מוסיקאית	מוזיקאית	1	0
מוסיקאים	מוזיקאים	9	0
המוסיקאיות	המוזיקאיות	1	0
מוסיקלי	מוזיקלי	29	0
המוסיקלי	המוזיקלי	25	29
מוסיקלית	מוזיקלית	19	0
המוסיקלית	המוזיקלית	10	19
מוסיקליים	מוזיקליים	2	0
המוסיקליים	המוזיקליים	4	2
מוסיקליות	מוזיקליות	2	0
במוסיקליות	במוזיקליות	1	2
המוסיקליות	המוזיקליות	2	2
מולקולארית	מולקולרית	2	0
מוניטארית	מוניטרית	8	0
המוניטארית	המוניטרית	1	8
שמוניטארית	שמוניטרית	1	8
מוסקבאי	מוסקוואי	9	0
המוסקבאי	המוסקוואי	5	9
המוסקבאית	המוסקוואית	2	0
המוסקבאים	המוסקוואים	3	0
המוסקבאיות	המוסקוואיות	1	0
המורלי	המוראלי	16	0
והמורלי	והמוראלי	3	16
מורלית	מוראלית	80	0
המורלית	המוראלית	22	0
מורליים	מוראליים	13	0
המורליים	המוראליים	4	0
מורליות	מוראליות	7	0
המורליות	המוראליות	7	0
והמורליות	והמוראליות	1	7
המטלי	המטאלי	2	0
המטלית	המטאלית	6	0
והמטלית	והמטאלית	1	6
שהמטלית	שהמטאלית	1	6
המטליות	המטאליות	3	0
מטאפורי	מטפורי	217	0
במטאפורי	במטפורי	3	217
המטאפורי	המטפורי	85	217
ומטאפורי	ומטפורי	4	217
למטאפורי	למטפורי	1	217
והמטאפורי	והמטפורי	2	217
מטאפורית	מטפורית	180	0
במטאפורית	במטפורית	3	180
המטאפורית	המטפורית	69	180
ומטאפורית	ומטפורית	9	180
כמטאפורית	כמטפורית	1	180
שמטאפורית	שמטפורית	1	180
והמטאפורית	והמטפורית	1	180
מטאפוריים	מטפוריים	17	0
המטאפוריים	המטפוריים	6	17
ומטאפוריים	ומטפוריים	1	17
מטאפוריות	מטפוריות	10	0
המטאפוריות	המטפוריות	6	10
למטאפוריות	למטפוריות	1	10
והמטאפוריות	והמטפוריות	1	10
מינימאלי	מינימלי	2	0
המינימאלית	המינימלית	1	0
המכני	המכאני	71	0
המכנית	המכאנית	44	0
מהמכנית	מהמכאנית	1	44
המכניים	המכאניים	18	0
המכניות	המכאניות	14	0
מאלזים	מלזים	1	0
מתימטי	מתמטי	1	0
המתימטי	המתמטי	2	1
מהמתימטית	מהמתמטית	1	0
נורבגי	נורווגי	653	0
בנורבגי	בנורווגי	101	653
הנורבגי	הנורווגי	910	653
ונורבגי	ונורווגי	7	653
כנורבגי	כנורווגי	3	653
לנורבגי	לנורווגי	26	653
מנורבגי	מנורווגי	4	653
שנורבגי	שנורווגי	1	653
והנורבגי	והנורווגי	2	653
שהנורבגי	שהנורווגי	5	653
מהנורבגי	מהנורווגי	13	653
נורבגית	נורווגית	100	0
בנורבגית	בנורווגית	8	100
הנורבגית	הנורווגית	58	100
ונורבגית	ונורווגית	2	100
כנורבגית	כנורווגית	2	100
לנורבגית	לנורווגית	3	100
מנורבגית	מנורווגית	1	100
והנורבגית	והנורווגית	4	100
ולנורבגית	ולנורווגית	1	100
שהנורבגית	שהנורווגית	1	100
